CustomerID,Age,Gender,IncomeBand,Province,TenureMonths,Churn
1000,63,Female,Medium,North West,62,0
1001,37,Male,Medium,Free State,8,0
1002,58,Female,Medium,Northern Cape,51,0
1003,49,Female,High,Mpumalanga,56,0
1004,48,Female,Low,Mpumalanga,4,0
1005,68,Male,High,Gauteng,11,0
1006,57,Male,Low,Free State,13,0
1007,18,Female,Low,Northern Cape,73,0
1008,20,Male,Low,Gauteng,95,0
1009,71,Male,High,Western Cape,58,0
1010,28,Female,Low,KwaZulu-Natal,113,0
1011,31,Female,Medium,Limpopo,75,0
1012,62,Male,Low,Free State,11,0
1013,71,Female,Medium,Eastern Cape,118,1
1014,41,Male,Low,Eastern Cape,117,0
1015,62,Female,High,Eastern Cape,39,0
1016,49,Female,Medium,Limpopo,76,0
1017,32,Male,High,Western Cape,109,0
1018,57,Male,High,Gauteng,87,1
1019,34,Male,Medium,Mpumalanga,59,0
1020,59,Male,Low,Mpumalanga,118,0
1021,48,Male,Low,Western Cape,98,1
1022,63,Female,Medium,Western Cape,19,0
1023,42,Female,Medium,North West,84,0
1024,31,Female,Medium,Eastern Cape,42,1
1025,29,Male,Medium,KwaZulu-Natal,73,0
1026,56,Male,Medium,Northern Cape,104,0
1027,73,Male,Medium,KwaZulu-Natal,13,0
1028,61,Male,High,KwaZulu-Natal,37,1
1029,48,Female,Low,Gauteng,95,1
1030,59,Female,Medium,Free State,16,0
1031,29,Female,Medium,Mpumalanga,43,0
1032,42,Female,Low,Gauteng,8,0
1033,45,Female,High,North West,51,0
1034,25,Female,Medium,Gauteng,3,0
1035,58,Male,Low,Free State,79,0
1036,24,Female,Low,Northern Cape,64,0
1037,22,Female,Medium,Limpopo,119,0
1038,48,Female,Low,Western Cape,43,0
1039,19,Male,Medium,KwaZulu-Natal,45,0
1040,59,Female,Low,Limpopo,110,1
1041,23,Female,Medium,Gauteng,82,0
1042,19,Male,Medium,Eastern Cape,55,1
1043,44,Male,Low,Gauteng,111,0
1044,61,Male,Medium,Free State,63,0
1045,35,Male,High,KwaZulu-Natal,109,0
1046,66,Male,Medium,Eastern Cape,35,0
1047,31,Female,High,Northern Cape,27,0
1048,20,Male,Medium,Free State,90,0
1049,29,Male,Low,Western Cape,104,0
1050,41,Female,High,Free State,93,0
1051,20,Male,High,Free State,6,0
1052,39,Female,Medium,Limpopo,60,1
1053,29,Male,Medium,Gauteng,71,1
1054,51,Male,Medium,Gauteng,9,0
1055,43,Male,Medium,KwaZulu-Natal,62,0
1056,49,Male,Medium,Free State,35,0
1057,60,Male,Medium,KwaZulu-Natal,23,1
1058,67,Female,Low,Gauteng,6,0
1059,72,Male,Low,Eastern Cape,118,0
1060,34,Female,Low,Western Cape,66,0
1061,18,Male,Low,Mpumalanga,65,0
1062,52,Female,Medium,Eastern Cape,115,0
1063,63,Female,Medium,Eastern Cape,27,0
1064,37,Male,High,Limpopo,64,1
